clip_id,event_id,wav_path,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,travel_direction,microphone,channel,split
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12615936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12615936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1264066_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1264066,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1266200_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1266200,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12711936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12711936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1272258_M_D_BR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1272258,M,D,B,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12807936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12807936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1288557_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1288557,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12903936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12903936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12999936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12999936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13095936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13095936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1349400_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1349400,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13577727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13577727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13673727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13673727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13769727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13769727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13865727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13865727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_13961727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,13961727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14057727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14057727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1414168_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1414168,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14153727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14153727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1419885_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1419885,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14249727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14249727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14345727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14345727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1438658_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1438658,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14441727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14441727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14537727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14537727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14633727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14633727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14729727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14729727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14825727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14825727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1484141_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1484141,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_14921727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,14921727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1500952_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1500952,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15017727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15017727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15113727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15113727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,R2L,SE,CH34,unknown
